Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
39,1222,10,2,2,30,1,1,1,9058,21680,2,0,21,3,3,1,16,1,3,1,2,3,1,0
26,1386,1,2,4,95,2,3,4,3700,23618,0,0,16,4,3,1,0,1,4,2,0,0,15,0
21,1093,4,5,3,41,2,2,3,6350,23244,6,0,13,3,4,2,20,2,2,6,1,0,1,0
50,891,1,5,3,46,2,1,3,5681,23640,2,0,19,4,4,0,13,3,3,5,2,1,0,0
33,912,5,4,1,48,2,1,2,5023,23431,1,0,20,3,4,0,0,2,4,7,0,3,4,0
36,1195,1,3,1,32,3,1,3,7826,16962,1,0,11,1,4,1,14,2,3,0,3,0,0,0
21,503,11,4,4,38,3,3,3,3531,11730,4,0,14,2,3,0,12,3,1,4,0,0,2,0
30,1119,10,1,3,99,3,1,4,3686,21566,4,0,13,3,3,1,16,2,3,13,1,2,0,0
37,855,1,3,3,52,3,2,4,4885,11633,2,0,15,3,1,0,18,2,1,0,3,6,2,0
24,1294,11,3,2,38,3,2,3,3568,12542,5,0,21,4,4,0,0,4,4,0,1,2,8,0
39,592,27,3,4,37,3,2,3,6336,11965,1,1,20,3,1,2,8,1,1,6,6,0,3,1
29,1088,8,3,2,80,2,4,3,3440,16754,0,0,19,4,4,2,11,3,3,1,3,1,0,0
33,980,9,2,2,89,3,4,4,5503,13471,4,0,10,3,3,1,9,4,3,5,9,7,10,0
29,1142,1,3,3,47,1,2,1,4674,10620,7,0,12,3,4,2,9,2,2,3,1,1,1,0
54,564,4,4,2,31,1,1,3,5472,15703,3,0,13,3,3,2,20,3,4,21,8,0,1,0
35,1079,1,3,2,45,3,2,1,3905,22856,2,1,14,4,4,1,0,2,3,10,2,0,2,1
25,1061,1,2,3,33,4,2,1,4148,17699,1,0,12,3,3,3,9,2,3,5,4,6,14,0
44,1060,30,2,4,37,3,2,2,5156,22931,2,1,16,4,3,1,10,3,2,1,6,2,0,1
23,1103,1,2,4,60,1,3,3,5437,11329,1,1,11,4,3,1,11,3,3,1,2,2,3,0
38,1176,6,2,3,46,4,1,4,4904,10838,1,0,21,3,4,1,4,4,4,10,5,0,1,0
18,1304,8,3,1,66,3,3,3,11529,17784,3,0,21,3,3,3,29,2,3,4,2,1,0,0
22,769,9,3,2,47,3,1,3,2994,15876,3,1,18,4,4,0,19,1,3,7,2,0,8,1
37,1325,30,3,4,95,4,3,1,4759,19222,6,0,11,4,4,0,29,3,2,2,1,0,2,0
43,998,1,3,3,93,3,2,3,2237,21508,3,0,23,3,4,0,17,1,4,0,0,4,4,0
37,577,1,4,4,69,2,3,2,5919,20772,1,1,24,3,3,0,18,1,3,2,2,0,0,0
34,558,2,2,1,54,3,1,3,2814,24018,4,1,13,3,3,0,11,1,3,0,11,0,4,1
32,834,1,3,3,56,3,2,4,4276,14770,3,0,20,3,2,2,24,3,3,7,4,5,5,0
21,1284,1,4,1,58,3,3,1,4080,11508,2,1,22,3,4,1,16,2,3,6,4,0,1,0
28,1207,2,2,3,80,3,1,2,5655,17365,7,0,18,3,4,0,10,1,4,0,3,2,2,0
31,1288,7,2,4,61,4,3,3,3727,9882,1,0,14,3,4,2,26,0,3,4,1,2,10,0
46,1017,4,4,4,89,4,3,4,3649,12910,0,0,17,3,3,1,1,0,4,10,0,5,5,0
39,940,1,3,3,96,4,2,4,10076,11534,1,0,17,4,2,1,6,2,3,5,0,3,1,0
18,647,5,3,3,53,4,2,4,5666,14741,2,0,16,4,4,0,34,1,3,3,0,2,3,0
39,828,1,1,4,69,4,2,3,3712,9890,5,1,23,4,1,2,17,2,4,1,3,0,4,1
32,934,1,3,4,36,1,2,4,4335,8541,1,0,21,4,4,0,0,2,2,10,5,1,0,0
29,588,7,3,1,44,2,2,1,11188,19165,2,0,13,3,3,0,20,1,3,2,0,5,2,0
42,720,4,1,3,58,3,3,1,4369,18374,1,1,18,4,3,0,3,5,3,9,0,0,12,1
46,1098,7,3,2,44,4,2,4,3481,20042,2,0,20,4,4,2,7,0,4,7,1,3,8,0
45,1235,1,2,3,91,3,1,4,3489,19226,1,1,12,4,1,1,32,4,1,8,1,0,5,1
27,1498,9,3,3,41,3,1,1,3734,9943,0,1,15,3,3,0,25,3,2,22,1,0,0,1
32,1433,4,1,3,61,2,1,1,3650,12948,1,0,23,3,4,0,27,3,2,6,0,0,15,0
39,1142,4,2,3,72,2,2,1,2591,10201,4,0,18,2,4,1,7,0,3,0,1,0,2,0
45,921,4,2,2,78,3,3,1,2801,22330,0,0,13,3,4,1,9,5,2,1,7,9,0,1
31,1136,9,1,3,56,2,3,2,3246,20697,2,1,11,4,4,0,13,2,3,0,1,4,3,1
34,1285,4,5,4,90,3,1,4,6606,11425,3,0,17,3,1,2,18,0,4,1,4,1,5,0
24,618,4,1,4,69,2,5,4,4061,13802,1,1,18,4,2,3,9,1,3,0,2,2,0,1
24,909,23,3,3,60,3,2,4,4431,24432,2,0,15,3,3,0,27,4,2,3,1,1,7,0
44,1339,7,2,4,34,3,4,4,9274,18100,3,0,19,3,3,1,15,2,4,0,5,3,7,0
49,883,2,3,4,62,3,3,3,9390,21619,4,0,11,2,3,0,23,5,3,3,2,3,0,0
35,1071,6,5,2,87,3,3,4,4268,12498,3,0,12,3,4,2,5,5,2,11,0,0,6,0
46,1087,2,2,1,73,1,1,3,3585,11570,5,0,18,3,1,1,8,2,3,6,0,1,8,0
39,684,1,5,4,88,4,1,3,3190,21326,1,0,10,3,3,0,13,2,4,14,4,2,0,0
29,862,4,2,4,64,3,1,3,6949,19659,2,0,23,3,1,2,8,2,3,1,1,7,1,0
39,834,13,4,4,38,3,3,3,4436,19576,2,0,12,4,1,2,20,3,3,3,1,2,1,0
51,526,13,3,4,30,3,2,4,4051,17394,2,0,20,3,3,0,20,2,2,1,0,4,1,0
35,524,2,4,3,51,2,3,4,3272,17580,3,0,15,4,4,0,10,0,4,3,0,3,4,0
51,1331,3,3,3,78,4,2,3,3344,20506,2,0,15,3,2,0,17,1,3,4,4,1,1,0
18,773,1,3,1,85,3,3,4,5767,12590,2,1,21,3,3,1,28,2,4,0,5,4,9,1
44,1018,27,2,2,50,3,1,1,2546,13997,5,1,17,3,3,2,20,2,3,1,2,0,15,1
36,798,19,2,3,64,2,1,4,8082,22817,2,0,20,4,2,1,17,1,2,6,1,0,1,0
33,1440,5,5,3,59,4,2,3,3763,13250,2,0,17,3,3,1,22,5,2,7,8,3,2,0
36,759,8,3,3,58,4,2,1,4560,17287,3,0,18,3,4,2,25,0,2,4,2,0,2,0
18,929,6,3,4,46,2,2,3,2518,19944,1,0,21,4,3,1,24,2,2,1,4,0,2,1
33,1372,4,4,2,39,3,3,3,4884,24998,3,0,19,2,2,1,11,1,2,2,0,1,1,0
39,1341,1,3,3,43,4,1,1,4170,15399,1,0,19,1,3,1,19,2,3,0,1,1,0,0
50,686,3,5,1,33,3,2,4,4793,15277,2,0,21,4,3,2,9,1,3,15,6,5,0,0
30,1302,5,4,3,43,4,4,1,10258,22324,2,1,24,3,1,0,11,3,3,10,1,6,0,1
27,958,5,3,4,30,3,1,4,5371,21693,2,0,15,3,1,0,15,3,3,0,3,1,6,0
30,982,2,4,4,73,3,5,4,3303,20428,2,0,18,3,2,0,0,0,4,0,3,1,0,0
45,633,14,1,4,52,3,5,3,3443,15874,5,0,11,2,2,2,14,1,4,4,0,2,0,0
39,580,1,2,2,98,2,1,3,6618,13506,3,0,15,3,2,1,6,1,2,1,4,1,2,0
30,1227,3,3,3,43,3,1,4,9408,18348,0,1,16,3,3,0,2,2,3,13,0,0,0,0
41,996,5,2,3,54,4,2,3,5658,22895,1,1,22,4,3,3,18,6,1,7,3,2,0,1
36,936,5,4,3,55,3,3,4,6935,23024,1,0,17,3,4,3,9,2,2,1,14,2,2,0
45,1229,5,5,4,30,3,2,3,6666,9844,0,1,20,3,3,3,13,3,3,0,9,0,2,1
28,1265,1,3,4,88,3,3,3,9991,15281,2,1,10,4,4,0,10,3,3,8,4,3,0,0
32,658,1,3,4,32,3,3,4,2000,15900,4,0,16,3,3,2,7,1,4,2,2,1,1,0
32,1110,5,5,2,95,4,1,2,6861,24619,3,0,23,3,1,0,12,0,3,5,3,0,1,0
21,635,4,3,4,92,4,4,3,8037,19525,0,0,13,4,3,0,1,1,2,1,3,2,2,0
38,1251,1,3,1,67,1,3,2,2516,14923,1,1,10,3,4,0,11,1,4,0,0,0,4,1
38,1156,6,3,4,68,4,2,4,3156,8442,3,0,16,3,2,1,27,1,1,5,0,0,0,0
36,1456,3,5,3,75,4,4,4,3211,17611,3,0,20,4,1,0,2,1,2,2,2,3,1,0
33,568,5,3,3,57,4,3,2,3413,9633,2,0,16,4,3,1,23,5,2,1,0,5,4,1
21,557,9,4,3,75,3,1,1,3862,22185,1,0,16,3,3,2,28,5,4,0,7,0,7,1
31,782,1,4,4,33,4,2,1,5548,20792,1,0,20,2,3,0,5,2,3,4,2,5,6,0
32,761,1,3,1,33,2,2,3,7576,15828,0,0,13,3,2,0,14,3,3,6,0,0,1,0
27,746,7,3,3,62,3,1,3,8439,15296,3,0,21,3,2,0,1,3,4,1,1,0,2,0
34,1406,4,4,4,68,4,5,4,3232,23254,2,1,12,3,4,3,0,2,3,6,5,0,2,0
40,749,6,3,3,92,2,1,3,3221,12903,2,0,15,3,3,0,13,0,4,1,7,0,6,0
54,771,9,4,2,37,1,3,2,9489,12233,3,1,19,4,3,1,15,2,3,2,0,0,5,0
37,1259,8,5,3,87,4,2,4,6791,23966,1,1,22,3,3,0,7,2,4,6,4,5,1,0
38,949,16,3,3,44,4,1,3,5122,21757,1,1,21,4,3,2,2,2,4,5,2,0,0,0
35,1276,3,4,4,57,2,4,3,6227,21950,3,0,20,3,2,0,5,2,3,1,2,0,1,0
18,565,3,4,4,52,4,4,1,4842,11318,3,1,15,2,3,1,19,3,3,0,4,2,1,1
35,987,2,4,3,58,3,2,3,6388,10436,3,0,11,3,1,1,19,2,4,0,0,0,9,0
36,533,1,3,4,40,3,1,4,4154,8442,1,0,13,2,3,2,17,3,3,9,2,2,0,0
60,562,4,1,3,65,4,1,3,5621,12029,0,1,22,3,3,0,8,1,3,0,1,1,0,1
34,1406,1,3,1,86,3,2,3,2309,21161,3,0,22,4,2,1,3,2,4,0,0,0,6,0
39,639,12,3,2,60,2,1,3,3484,12080,2,1,24,3,2,0,22,5,3,1,0,2,0,1
35,1032,4,3,3,64,2,2,4,3503,20394,2,0,11,3,2,3,25,0,2,2,0,0,0,0
24,911,4,4,2,89,3,5,2,4075,12282,3,0,18,3,1,1,7,1,3,7,2,0,1,0
47,847,2,3,4,79,3,2,3,3092,14719,2,1,19,2,3,1,10,3,3,1,0,0,2,1
43,1399,1,3,4,64,4,4,4,3763,24713,6,0,20,3,4,1,0,1,1,3,2,1,1,0
43,521,1,2,2,48,4,3,2,2304,12161,1,0,19,4,3,0,16,2,3,0,2,2,2,0
26,1163,2,4,3,91,3,2,4,6466,14398,3,1,21,3,3,0,28,3,4,3,7,1,0,0
50,1463,1,3,4,70,4,4,3,4716,13118,3,0,15,3,3,1,19,1,2,0,2,1,2,0
21,1060,4,2,4,45,2,2,4,2095,9863,1,0,12,4,3,3,29,2,1,1,12,1,1,0
41,1436,10,2,4,48,1,4,3,3237,16328,1,1,13,4,4,0,8,5,4,2,0,0,5,0
57,552,10,4,3,86,4,1,3,5815,14437,1,0,10,3,4,2,1,3,3,7,3,5,1,0
26,918,5,3,4,33,1,1,4,3746,19813,1,1,15,3,4,0,24,1,2,6,0,6,1,1
30,760,1,2,3,99,2,4,2,3468,21899,3,0,11,3,4,3,13,3,4,2,3,1,2,0
36,1230,9,5,3,39,3,2,3,4734,17252,2,1,14,3,2,0,4,4,3,0,1,0,0,0
30,1481,10,4,1,85,3,4,2,5835,8547,2,0,19,3,3,0,26,3,3,1,2,1,0,0
20,756,1,5,2,57,4,4,1,2396,18521,0,0,23,3,4,1,7,2,3,3,1,0,4,0
36,1154,6,3,3,64,2,1,4,6470,8941,1,1,22,3,3,2,3,4,2,10,0,1,0,1
25,698,1,3,2,91,1,2,3,3293,18478,5,0,13,3,4,2,16,3,4,17,3,0,3,0
40,1065,8,4,1,58,3,2,4,4870,19645,0,1,12,3,2,1,1,0,3,5,7,2,0,0
26,963,29,3,4,67,3,3,2,4828,11362,2,0,12,4,3,1,20,2,3,2,0,0,5,0
51,1472,1,4,1,33,3,3,3,3776,21928,5,1,24,4,4,0,2,1,4,5,7,6,13,1
28,1108,11,2,3,30,3,1,2,2945,23488,1,0,18,3,3,0,14,3,1,2,0,0,1,0
32,849,4,3,3,47,4,2,4,4260,21822,1,0,12,3,4,0,14,1,1,4,3,2,2,0
44,614,18,2,4,77,4,3,4,11077,13186,2,0,22,3,1,1,14,1,2,1,9,4,1,0
23,651,3,2,3,38,2,1,1,2487,17972,1,1,15,3,4,1,1,1,1,1,0,0,6,1
38,725,9,1,1,37,3,3,4,11454,23551,0,0,23,4,4,2,10,0,3,0,1,5,0,0
49,750,1,1,3,58,3,2,2,4316,13451,3,0,13,3,3,2,22,0,3,2,1,0,3,0
19,1350,2,5,4,75,4,5,3,5002,21940,0,0,15,3,1,0,10,2,2,4,1,6,3,0
37,1061,1,2,4,79,4,2,4,2854,8161,1,0,17,3,1,2,2,3,2,7,4,7,1,0
38,1023,18,3,3,42,2,1,4,3342,8061,2,0,23,3,4,0,8,1,2,8,3,0,0,0
43,614,8,4,3,35,3,2,4,3822,20915,2,0,23,3,4,2,1,3,4,24,10,3,0,0
23,1360,9,3,4,95,3,1,3,2913,20944,0,0,18,3,2,0,0,3,3,0,0,0,4,0
22,1222,13,2,2,48,1,5,1,4427,21412,3,1,13,3,1,2,10,1,3,3,2,0,0,1
41,567,1,4,3,89,1,1,2,4009,23810,2,0,16,2,4,1,12,3,3,3,1,0,2,0
38,1207,2,3,3,90,3,3,3,12399,10004,0,0,24,3,4,1,17,1,3,8,7,0,1,0
38,1043,1,4,1,84,3,2,4,2743,11943,3,1,19,3,2,1,15,2,1,1,0,2,0,1
39,581,1,4,3,41,1,2,2,5173,23363,3,0,21,2,3,0,16,3,4,0,13,1,2,0
29,958,1,5,2,87,3,1,4,5563,11013,2,0,16,4,4,0,11,1,4,1,1,3,6,0
38,984,3,3,4,83,2,3,3,2877,19597,4,0,17,3,3,1,29,6,3,20,2,0,2,0
38,665,1,3,4,71,3,2,3,6928,17017,1,1,16,4,4,2,5,5,3,11,1,6,4,0
28,1445,1,3,2,53,3,1,4,4027,9414,2,1,20,3,3,0,9,2,3,2,5,0,2,0
54,1349,1,1,4,48,2,4,3,2000,12849,3,0,22,2,3,0,25,1,2,10,2,0,3,0
40,1169,1,4,1,38,3,2,4,6835,16846,2,1,17,3,3,1,8,1,2,0,3,2,1,1
24,962,18,2,3,65,2,2,2,2811,22489,4,0,17,3,4,1,11,1,3,1,3,4,7,1
42,911,7,3,1,70,3,2,4,2910,20028,1,0,15,4,3,1,15,0,1,6,1,3,2,0
26,1150,17,4,4,55,2,1,1,6932,18572,1,0,12,1,2,2,21,2,1,1,0,1,2,1
43,1045,2,3,4,63,3,4,2,4131,16432,5,0,24,3,3,1,13,1,3,1,4,0,2,0
47,562,1,3,4,55,2,2,4,7776,13077,3,0,14,4,4,0,4,1,4,9,1,0,1,0
27,1012,8,3,4,74,3,1,4,9000,10027,2,0,22,3,3,0,8,3,4,4,5,1,0,0
45,1306,1,4,3,93,4,2,2,3560,14954,5,0,20,3,3,1,16,1,1,22,2,1,0,1
40,959,1,3,4,41,2,2,3,7307,8484,4,1,21,3,3,1,9,4,2,0,1,0,3,1
44,551,1,4,4,56,3,2,3,3368,11587,4,0,24,3,2,0,8,2,3,2,2,1,1,0
54,1286,1,1,4,39,1,3,2,15011,15352,5,0,19,3,1,3,4,1,4,1,3,2,1,0
33,701,1,4,3,73,3,1,4,3475,15116,3,0,23,3,3,0,21,0,4,10,3,2,7,0
28,758,2,4,1,81,2,1,4,8209,8753,3,0,12,4,3,1,11,2,4,1,5,0,2,0
27,664,5,2,3,95,3,3,2,7494,18014,1,0,19,4,4,0,11,0,3,2,0,1,0,0
27,830,1,3,2,49,3,1,3,5756,17344,5,1,21,2,4,2,17,2,2,0,8,0,4,1
35,1256,1,2,3,96,4,4,4,3514,9327,8,0,14,3,4,2,1,1,1,7,1,0,0,0
39,1019,8,4,3,34,3,1,3,4556,24033,0,0,21,3,3,0,12,0,1,1,5,3,2,0
38,704,1,3,3,72,3,4,3,2000,9689,2,0,21,3,4,3,24,1,3,0,0,2,2,0
44,1377,2,3,1,33,3,2,1,5498,22532,0,0,22,3,1,0,11,1,1,2,0,2,0,0
36,1379,9,2,2,92,4,2,3,5853,8005,0,0,14,4,1,1,13,2,3,2,2,0,0,0
50,1370,1,2,3,67,4,1,2,5254,22998,2,0,20,3,2,2,13,2,3,0,1,4,0,0
33,738,1,1,4,76,2,1,4,2000,8335,0,0,14,3,3,2,20,0,1,0,12,0,0,0
60,951,3,3,3,88,4,1,3,2610,20882,2,0,21,3,2,3,13,1,4,11,0,4,0,0
42,1484,1,3,3,40,3,1,2,3381,14148,2,0,16,3,3,2,31,4,3,0,0,0,15,0
27,1272,4,4,4,32,4,2,4,5686,20549,3,0,18,3,3,3,13,1,4,0,0,0,1,0
25,527,8,3,3,91,4,2,1,5679,14829,1,0,16,3,3,0,8,0,4,1,0,0,5,0
40,565,1,3,2,52,2,2,3,4513,9205,1,0,12,3,3,0,24,2,2,15,2,0,2,0
33,963,4,5,3,39,3,3,3,6752,21047,0,1,12,3,3,1,10,3,3,0,2,1,3,0
43,1409,3,4,2,62,2,3,2,2942,9211,4,0,11,3,2,2,7,5,2,8,1,5,0,1
40,1038,1,5,4,71,2,2,4,6668,23676,1,1,19,3,1,1,2,3,4,11,0,0,0,0
35,997,4,3,2,32,2,2,4,6231,8866,1,0,22,4,2,0,15,2,3,2,0,1,2,0
27,605,1,2,3,49,3,2,1,5935,16148,2,0,10,3,1,2,8,4,4,1,0,4,6,1
20,1156,3,1,1,32,2,2,4,4487,20291,0,0,10,3,3,3,5,0,2,5,4,1,0,0
31,1322,1,4,2,59,1,4,3,12275,14685,2,0,16,3,4,1,7,0,3,6,4,0,2,0
44,880,3,2,4,92,3,1,4,6289,11692,2,0,21,3,3,0,9,0,4,7,4,9,0,0
38,1275,1,3,2,98,2,1,3,3028,20904,2,0,12,4,3,0,18,1,3,8,10,0,1,0
23,1464,8,3,1,74,2,3,3,5564,21333,0,1,14,3,4,0,15,0,1,1,6,1,2,1
37,703,1,3,3,41,2,1,3,7159,23685,4,0,13,4,2,1,10,4,3,5,2,3,4,0
39,1023,2,3,1,93,3,4,3,3662,14394,5,0,15,3,2,3,16,2,2,0,1,0,0,0
27,787,3,2,1,66,3,4,3,8472,16606,2,0,13,3,3,0,11,4,1,3,7,2,0,0
37,1292,6,3,4,40,1,1,2,5949,14173,1,0,15,3,3,1,13,4,3,4,2,0,1,0
36,1077,4,3,4,94,4,1,4,2000,12370,1,0,20,3,3,1,6,0,2,0,1,0,15,0
24,1134,5,5,4,83,3,2,3,5709,20767,2,0,19,3,4,0,6,1,4,0,2,0,1,0
39,1297,7,4,4,81,3,2,4,4011,13774,1,1,11,4,1,1,13,1,3,1,14,6,1,1
41,895,9,5,4,79,3,1,2,6429,15278,2,0,19,2,3,2,13,3,3,2,5,4,1,0
46,1415,1,4,1,44,3,3,4,7880,14862,3,0,17,3,2,2,20,1,1,10,0,0,0,0
46,1033,3,3,4,44,3,2,4,5418,20115,2,0,24,3,4,1,15,3,1,3,9,0,4,0
22,657,9,2,4,78,2,2,4,11300,23602,2,0,14,3,4,2,8,2,1,6,11,0,0,0
26,1195,22,3,4,45,2,1,4,4494,19334,1,0,20,3,3,0,1,2,2,0,0,1,3,0
41,1293,11,3,3,60,4,3,4,6717,16016,5,0,20,3,1,0,19,1,3,0,6,4,1,0
41,816,2,3,2,84,2,1,3,7350,21246,0,0,13,3,2,0,14,0,3,1,6,6,2,0
41,1357,1,3,4,84,3,4,3,4681,18896,3,0,23,3,2,0,19,1,4,1,0,2,0,0
60,1406,3,3,4,61,4,2,2,7254,9030,0,1,17,4,3,0,15,1,3,3,3,1,6,0
41,776,6,3,4,85,3,2,3,3650,9626,2,1,20,3,3,0,26,1,1,10,1,0,0,1
47,1483,3,3,2,88,3,4,2,3978,8644,3,1,12,3,4,1,10,6,2,2,3,0,3,1
45,640,3,2,2,75,3,4,4,2549,15765,2,0,13,4,3,1,12,2,4,3,7,1,4,0
42,702,9,4,2,45,1,2,3,5545,22039,2,0,18,4,2,0,18,3,3,0,2,1,2,0
32,684,2,2,4,49,3,1,3,5782,13322,2,0,14,3,2,0,18,4,4,0,1,3,1,0
43,1393,9,1,2,52,3,3,2,8862,14530,3,0,17,3,2,1,14,2,2,0,7,0,11,0
28,1154,2,3,1,38,4,2,4,7299,23461,2,0,15,3,2,0,0,1,2,6,10,0,0,0
33,652,1,3,4,49,4,1,1,4262,22227,0,0,19,3,4,1,0,0,2,3,0,1,8,0
31,940,3,3,1,44,4,4,1,2726,19305,1,0,17,4,1,2,8,2,4,1,7,6,0,1
36,1115,7,2,4,61,4,1,2,6102,12535,4,1,10,4,4,0,12,2,2,4,0,3,1,1
59,583,1,3,3,93,3,1,4,8564,9989,2,0,19,4,3,0,0,2,3,3,1,0,0,0
18,1382,1,3,4,37,3,1,4,7169,8272,2,1,16,3,3,0,11,6,3,0,4,4,0,1
42,1303,15,5,3,80,3,3,4,8452,9819,1,0,15,3,3,0,17,1,3,5,4,1,0,0
19,1005,1,5,4,78,3,3,4,4420,12974,1,0,11,3,4,3,11,4,2,7,3,0,0,0
31,1467,4,3,4,36,4,2,2,3892,17380,2,1,13,3,3,0,14,2,3,1,0,0,12,1
46,917,4,3,1,94,2,2,4,3400,9088,1,0,13,3,3,1,16,0,1,5,0,1,4,0
36,1484,3,4,1,69,4,2,2,4779,10315,1,1,24,3,2,2,0,4,4,1,8,1,0,1
25,1167,5,1,2,55,4,3,1,4725,11078,3,0,16,3,4,0,17,2,1,7,0,2,0,0
28,1134,1,3,4,82,4,1,1,5449,18743,3,0,10,3,3,0,6,2,1,12,0,1,3,0
42,665,4,3,4,48,4,4,3,4607,18468,1,1,12,4,3,2,10,3,3,2,5,0,1,0
28,1381,2,5,3,78,2,1,4,4597,17363,3,0,11,3,3,2,6,1,4,1,3,0,5,0
38,927,5,1,3,32,2,5,3,3333,12258,3,0,18,4,1,0,20,0,2,2,1,3,2,0
36,662,1,3,2,88,2,1,4,7869,14309,2,0,12,4,2,0,2,0,3,1,0,2,3,0
29,512,4,4,4,61,2,3,3,5106,9643,1,0,17,4,2,2,23,4,1,0,6,1,2,0
57,1059,1,3,4,74,3,1,2,4504,11849,3,0,15,4,4,0,31,3,1,5,13,0,3,0
42,1027,1,1,2,45,4,1,3,3382,23260,2,0,22,3,3,0,0,1,3,0,0,0,0,0
18,1219,1,5,3,77,4,4,4,2525,24654,2,0,14,3,4,0,7,0,2,1,2,0,1,1
37,1390,1,3,1,84,3,4,4,9452,19010,2,0,16,3,4,0,16,0,3,6,0,0,0,0
29,579,8,3,3,63,1,2,3,6485,23585,3,0,20,3,2,0,4,1,4,5,5,1,2,0
44,1231,1,2,3,73,2,3,3,2182,18926,1,0,16,3,3,1,9,0,4,0,1,3,1,0
28,687,13,3,2,61,1,2,2,7198,8564,3,0,21,4,4,2,13,2,2,5,3,0,4,0
34,1358,17,3,3,92,3,4,3,7795,24944,1,0,19,3,3,1,6,1,3,13,2,3,0,0
41,1319,4,1,3,64,3,2,4,5230,9682,5,0,16,3,3,0,12,3,4,0,2,2,1,0
44,1040,1,2,3,88,1,2,1,10927,19604,2,0,17,3,4,1,19,3,4,2,5,0,0,0
23,1210,2,4,3,86,3,2,4,5477,12298,1,0,24,3,1,2,11,0,2,6,1,2,2,0
32,814,7,2,1,58,2,2,3,2420,14663,2,1,19,3,4,0,3,3,3,5,5,0,5,0
31,971,2,2,4,46,3,4,2,5899,18980,2,0,23,1,2,0,21,2,4,1,1,2,4,0
29,1321,1,3,4,58,3,1,4,5554,15420,1,0,12,3,3,0,23,2,3,0,0,0,8,0
53,959,4,4,3,87,3,1,3,3634,12259,0,0,17,4,2,0,14,2,4,7,1,0,10,0
40,857,9,1,1,45,3,2,3,6547,13685,2,1,23,3,4,3,4,5,3,15,2,1,4,0
23,994,7,3,4,66,4,3,2,2134,13806,3,1,14,1,3,1,4,4,2,7,1,0,1,1
45,1328,1,2,4,86,2,1,2,8064,24308,1,0,24,3,3,0,0,2,2,16,4,0,0,0
57,835,5,1,2,54,3,2,4,3168,21576,2,0,11,3,4,2,7,5,1,4,2,0,1,0
46,673,1,1,3,74,3,5,3,3003,15795,4,0,23,3,4,0,20,1,2,13,6,1,15,0
20,1212,1,4,2,47,3,1,4,4642,11396,2,0,16,3,4,0,6,1,4,5,2,3,1,0
31,1325,10,2,3,37,4,3,2,6102,21787,2,0,11,4,2,0,4,2,3,11,0,0,0,0
48,600,1,1,2,85,3,3,2,5334,10672,2,0,23,2,4,1,20,2,3,0,0,0,8,0
28,739,1,3,3,36,3,2,1,3390,11577,2,0,13,3,3,0,21,0,3,8,6,1,1,0
